artist,album,title,duration,playcount,rating,rating_interpretation
"Crumb","Fall Down","Ghostride","2:06","2","5","thumbs-up"
"Crumb","Crumb","Bones","3:14","1","5","thumbs-up"
"Crumb","Locket","Locket","5:18","1","5","thumbs-up"
"Crumb","Jinx","Fall Down","2:53","","5","thumbs-up"
"Lee ""Scratch"" Perry","The Best of Lee Perry","I Am a Madman","5:46","","5","thumbs-up"
"Bratmobile","Ladies, Women and Girls","Come Hither","2:28","1","5","thumbs-up"
"Ashley O","On A Roll","On A Roll","2:34","","5","thumbs-up"
"Fozzy","Judas","Judas","4:10","1","5","thumbs-up"
"Fozzy","Judas","Judas","4:09","12","5","thumbs-up"
"Powerman 5000","Tonight The Stars Revolt!","When Worlds Collide","2:57","2","5","thumbs-up"
"Sevendust","Animosity","Praise","3:38","1","5","thumbs-up"
"Marilyn Manson","Mechanical Animals","The Dope Show","3:46","1","5","thumbs-up"
"Bikini Kill","The First Two Records","Jigsaw Youth","1:55","1","5","thumbs-up"
"Bikini Kill","Reject All American","No Backrub","1:52","1","5","thumbs-up"
"Sleeping With Sirens","With Ears To See And Eyes To Hear","If I'm James Dean, You're Audrey Hepburn","3:39","2","5","thumbs-up"
"Sleater-Kinney","No Cities To Love","Fangless","3:34","1","5","thumbs-up"
"Sleater-Kinney","Hurry On Home","Hurry On Home","2:48","1","5","thumbs-up"
"Miley Cyrus","SHE IS COMING","The Most","3:41","1","5","thumbs-up"
"Battle Tapes","Sweatshop Boys - EP","Feel the Same","4:36","","5","thumbs-up"
"Jme","Integrity>","Man Don't Care (feat. Giggs)","3:33","2","5","thumbs-up"
"Miley Cyrus","Miley Cyrus & Her Dead Petz","Tiger Dreams (feat. Ariel Pink)","5:52","2","5","thumbs-up"
"Miley Cyrus","Miley Cyrus & Her Dead Petz","Something About Space Dude","3:28","1","5","thumbs-up"
"White Zombie","Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head","More Human Than Human","4:28","1","5","thumbs-up"
"White Zombie","Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head","Electric Head, Part 2 (The Ecstasy) (Album Version Explicit)","3:53","1","5","thumbs-up"
"Bad Religion","The Kids Are Alt-Right","The Kids Are Alt-Right","2:43","1","5","thumbs-up"
"Bad Religion","The Empire Strikes First","Los Angeles Is Burning","3:24","2","5","thumbs-up"
"Deftones","White Pony","Change (In The House Of Flies)","4:59","","5","thumbs-up"
"Minus The Bear","Planet of Ice","Knights","3:40","20","5","thumbs-up"
"Ultravox!","Classic Punk","Saturday Night In The City Of The Dead","2:36","1","5","thumbs-up"
"Eddie & The Hot Rods","Classic Punk","Do Anything You Wanna Do","4:22","1","5","thumbs-up"
"Blondie","Classic Punk","Hanging On The Telephone","2:23","1","5","thumbs-up"
"Elvis Costello & The Attractions","Classic Punk","Pump It Up","3:19","1","5","thumbs-up"
"New York Dolls","Classic Punk","Personality Crisis","3:43","1","5","thumbs-up"
"Dr Feelgood","Classic Punk","I Don't Mind","2:37","1","5","thumbs-up"
"Smash Mouth","Astro Lounge","All Star","3:21","5","5","thumbs-up"
"The Dandy Warhols","Thirteen Tales From Urban Bohemia","Bohemian Like You","3:31","2","5","thumbs-up"
"American Hi-Fi","Teenage Dirtbags","Flavor Of The Weak","3:07","3","5","thumbs-up"
"Weezer","Stoner Anthems","Hash Pipe","3:06","4","5","thumbs-up"
"Bowling For Soup","A Hangover You Don't Deserve","1985","3:13","1","5","thumbs-up"
"Wheatus","Wheatus","Teenage Dirtbag","4:01","7","5","thumbs-up"
"Seasick Steve","Sonic Soul Surfer","Summertime Boy","3:55","1","5","thumbs-up"
"Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","The Power of Equality","4:03","2","5","thumbs-up"
"2Pac","The Best of 2Pac, Pt. 1: Thug","Changes (feat. Talent)","4:29","3","5","thumbs-up"
"Jake Bugg","Jake Bugg","Lightning Bolt","2:24","1","5","thumbs-up"
"Miike Snow","Silvia","Silvia (Robotberget Remix)","7:58","","5","thumbs-up"
"Portishead","Dummy","Glory Box","5:05","5","5","thumbs-up"
"IDLES","Joy as an Act of Resistance.","Rottweiler","5:25","1","5","thumbs-up"
"IDLES","Mercedes Marxist","Mercedes Marxist","3:03","4","5","thumbs-up"
"Vukovi","Behave","Behave","3:09","2","5","thumbs-up"
"Sløtface","Pitted","Pitted","2:28","4","5","thumbs-up"
"The Regrettes","Dress Up","Dress Up","2:50","7","5","thumbs-up"
"Ghost B.C.","Infestissumam","Year Zero","5:50","9","5","thumbs-up"
"Ghost B.C.","Infestissumam","Infestissumam","1:42","2","5","thumbs-up"
"White Zombie","Beavis And Butt-Head Do America","Ratfinks, Suicide Tanks And Cannibal Girls","3:52","1","5","thumbs-up"
"Blink-182","blink-182 (UK Tour Edition)","I Miss You","3:47","2","5","thumbs-up"
"Taylor Swift","1989","Bad Blood","3:31","3","5","thumbs-up"
"Heart","Bad Animals","Alone","3:38","","5","thumbs-up"
"Eve","Scorpion","Let Me Blow Ya Mind (feat. Gwen Stefani)","3:50","4","5","thumbs-up"
"Eve","Scorpion","Who's That Girl?","4:42","7","5","thumbs-up"
"Billie Eilish","dont smile at me (Expanded Edition)","ocean eyes","3:20","3","5","thumbs-up"
"Billie Eilish","dont smile at me (Expanded Edition)","my boy","2:50","1","5","thumbs-up"
"Billie Eilish","dont smile at me (Expanded Edition)","bellyache","2:59","3","5","thumbs-up"
"Billie Eilish","dont smile at me (Expanded Edition)","hostage","3:49","1","5","thumbs-up"
"Billie Eilish","dont smile at me (Expanded Edition)","party favor","3:24","1","5","thumbs-up"
"Billie Eilish","dont smile at me (Expanded Edition)","idontwannabeyouanymore","3:23","1","5","thumbs-up"
"Billie Eilish","dont smile at me (Expanded Edition)","&burn","2:59","1","5","thumbs-up"
"Billie Eilish","dont smile at me (Expanded Edition)","lovely","3:20","2","5","thumbs-up"
"Damian Marley","Welcome to Jamrock","Welcome To Jamrock","3:33","","5","thumbs-up"
"Fat Joe","Jealous Ones Still Envy (J.O.S.E)","What's Luv? (feat. Ja-Rule & Ashanti)","4:27","1","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","goodbye","1:59","2","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","i love you","4:51","2","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","listen before i go","4:02","1","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","ilomilo","2:36","1","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","my strange addiction","2:59","1","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","when the party's over","3:16","1","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","wish you were gay","3:41","1","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","all the good girls go to hell","2:48","1","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","xanny","4:03","1","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","bad guy","3:14","7","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","bury a friend","3:13","11","5","thumbs-up"
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","you should see me in a crown","3:01","9","5","thumbs-up"
"Queen","Deep Cuts 1","'39 (Remastered 2011)","3:30","1","5","thumbs-up"
"Queen","Deep Cuts 1","The Millionaire Waltz (Remastered 2011)","4:54","2","5","thumbs-up"
"Queen","Deep Cuts 1","Long Away (Remastered 2011)","3:33","1","5","thumbs-up"
"Queen","Deep Cuts 1","Keep Yourself Alive (Remastered 2011)","3:46","3","5","thumbs-up"
"Queen","Deep Cuts 1","Stone Cold Crazy (Remastered 2011)","2:13","1","5","thumbs-up"
"Queen","Deep Cuts 1","Ogre Battle (2011 Remaster)","4:14","1","5","thumbs-up"
"3OH!3","Streets Of Gold","STARSTRUKK (feat. KATYPERRY)","3:23","4","5","thumbs-up"
"Tina Turner","What's Love Got To Do With It","Proud Mary","5:27","","5","thumbs-up"
"Gerry Rafferty","Essential","Baker Street","6:05","","5","thumbs-up"
"Carly Simon","No Secrets","You're so Vain","4:18","1","5","thumbs-up"
"Chumped","Teenage Retirement","Old And Tired","4:11","3","5","thumbs-up"
"Katie Ellen","Cowgirl Blues","Drawing Room","4:13","1","5","thumbs-up"
"Shannon Purser","Sierra Burgess is a Loser (Original Motion Picture Soundtrack)","Sunflower - Movie Version","1:48","","5","thumbs-up"
"Billie Eilish","MyBoi (TroyBoi Remix)","MyBoi (TroyBoi Remix)","3:31","1","5","thumbs-up"
"Death Valley Girls","Darkness Rains","Disaster (Is What We’re After)","3:37","","5","thumbs-up"
"Lily Allen","Alright, Still (Deluxe)","Smile","3:16","1","5","thumbs-up"
"Letters to Cleo","When Did We Do That?","I Want You to Want Me","3:26","1","5","thumbs-up"
"Billie Eilish","come out and play","come out and play","3:30","3","5","thumbs-up"
"The Cramps","Off The Bone","The Way I Walk","2:40","1","5","thumbs-up"
"Björk","Post","Hyper-ballad","5:21","1","5","thumbs-up"
"Björk","Debut","Human Behaviour","4:12","1","5","thumbs-up"
"Five Knives","Savages","Money","2:37","1","5","thumbs-up"
"Stephen Barton","Apex Legends (Original Soundtrack)","Apex Legends: Main Theme","2:40","5","5","thumbs-up"
"Lil Peep","Come Over When You're Sober, Pt. 2","Falling Down (Bonus Track)","3:16","","5","thumbs-up"
"Screaming Females","All at Once","I'll Make You Sorry","4:11","5","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","Picture Perfect","2:48","3","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","You Won't Do","5:26","3","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","Hot","2:40","2","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","Ladylike / WHATTA BITCH","1:52","1","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","Bronze","4:00","1","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","I Don't Like You","2:46","2","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","Pale Skin","5:27","2","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","'Til Tomorrow","2:51","1","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","Lacy Loo","2:53","1","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","Head in the Clouds","2:03","1","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","How It Should Be","2:37","1","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","Hey Now","3:29","1","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","Juicebox Baby","1:51","1","5","thumbs-up"
"The Regrettes","Feel Your Feelings Fool!","A Living Human Girl","2:37","2","5","thumbs-up"
"The Regrettes","Pumpkin","Pumpkin","3:27","2","5","thumbs-up"
"Seether","Seether: 2002-2013","Remedy","3:28","4","5","thumbs-up"
"Ghost","Prequelle","Miasma","5:17","1","5","thumbs-up"
"Papa Roach","The Paramour Sessions","…To Be Loved","3:03","3","5","thumbs-up"
"Papa Roach","Getting Away With Murder (Expanded Edition)","Getting Away With Murder","3:11","1","5","thumbs-up"
"Papa Roach","Infest","Between Angels And Insects","3:54","1","5","thumbs-up"
"Papa Roach","Infest","Blood Brothers","3:33","1","5","thumbs-up"
"Papa Roach","Infest","Last Resort","3:19","4","5","thumbs-up"
"Papa Roach","lovehatetragedy","She Loves Me Not","3:29","2","5","thumbs-up"
"Faith No More","Album Of The Year","She Loves Me Not","3:29","1","5","thumbs-up"
"Faith No More","King for a Day... Fool for a Lifetime (Remastered) [Deluxe Edition]","I Started a Joke (2016 Remastered Version)","3:01","1","5","thumbs-up"
"Freedy Johnston","This Perfect World","Bad Reputation","4:08","1","5","thumbs-up"
"HIM","XX - Two Decades Of Love Metal","Poison girl","3:51","1","5","thumbs-up"
"HIM","XX - Two Decades Of Love Metal","In Joy And Sorrow (Radio Edit)","3:33","2","5","thumbs-up"
"HIM","XX - Two Decades Of Love Metal","Right here in my arms (Radio Edit)","3:24","1","5","thumbs-up"
"HIM","XX - Two Decades Of Love Metal","Wicked Game","3:53","1","5","thumbs-up"
"HIM","XX - Two Decades Of Love Metal","Your Sweet 666","4:10","2","5","thumbs-up"
"HIM","XX - Two Decades Of Love Metal","Strange World","4:09","1","5","thumbs-up"
"HIM","XX - Two Decades Of Love Metal","Heartache Every Moment","3:57","4","5","thumbs-up"
"HIM","XX - Two Decades Of Love Metal","The Funeral Of Hearts (Radio edit)","3:38","8","5","thumbs-up"
"Weezer","Weezer (Teal Album)","Paranoid","2:44","1","5","thumbs-up"
"Weezer","Weezer (Teal Album)","No Scrubs","3:10","2","5","thumbs-up"
"Weezer","Weezer (Teal Album)","Sweet Dreams (Are Made Of This)","3:34","2","5","thumbs-up"
"Weezer","Weezer (Teal Album)","Billie Jean","4:54","1","5","thumbs-up"
"Weezer","Weezer (Teal Album)","Happy Together","2:25","3","5","thumbs-up"
"Weezer","Weezer (Teal Album)","Africa","3:58","1","5","thumbs-up"
"Weezer","Weezer (Teal Album)","Stand By Me","3:00","2","5","thumbs-up"
"Weezer","Weezer (Teal Album)","Mr. Blue Sky","4:46","2","5","thumbs-up"
"Weezer","Weezer (Teal Album)","Take On Me","3:43","1","5","thumbs-up"
"Weezer","Weezer (Teal Album)","Everybody Wants To Rule The World","4:04","2","5","thumbs-up"
"EPMD","Strictly Business (25th Anniversary Expanded Edition)","Strictly Business","4:44","1","5","thumbs-up"
"Kavinsky","OutRun","First Blood","3:04","3","5","thumbs-up"
"Kavinsky","OutRun","Nightcall","4:17","3","5","thumbs-up"
"Kavinsky","OutRun","ProtoVision","3:25","8","5","thumbs-up"
"No Violet","Petty Child","Petty Child","2:55","2","5","thumbs-up"
"No Violet","Faces","She Goes Her Own Way","4:03","2","5","thumbs-up"
"No Violet","Faces","America","2:49","","5","thumbs-up"
"No Violet","Faces","Behaviour","3:27","1","5","thumbs-up"
"No Violet","Faces","Be My Friend","4:09","4","5","thumbs-up"
"London Grammar","If You Wait","Nightcall","4:30","","5","thumbs-up"
"Mom Jeans.","Best Buds","Movember (feat. Sarah Levy)","3:37","1","5","thumbs-up"
"Mom Jeans.","Best Buds","Death Cup","4:36","2","5","thumbs-up"
"Mom Jeans.","Best Buds","Edward 40hands","4:26","2","5","thumbs-up"
"Mom Jeans.","Best Buds","*Sobs Quietly*","1:58","3","5","thumbs-up"
"Pet Shop Boys","Please","Opportunities (Let's Make Lots of Money) [2001 Remaster]","3:43","2","5","thumbs-up"
"The B-52's","B-52's","Dance This Mess Around","4:36","1","5","thumbs-up"
"Best Coast","California Nights","Feeling Ok","3:16","1","5","thumbs-up"
"The Regrettes","Don't Stop Me Now","Don't Stop Me Now","3:20","2","5","thumbs-up"
"Dorothy","ROCKISDEAD","Raise Hell","3:01","","5","thumbs-up"
"Hannah Wicklund & The Steppin Stones","Hannah Wicklund & The Steppin Stones","Bomb Through the Breeze","2:44","","5","thumbs-up"
"The Pretty Reckless","Who You Selling For","Take Me Down","4:13","1","5","thumbs-up"
"Blink-182","Take Off Your Pants And Jacket","Every Time I Look For You","3:05","2","5","thumbs-up"
"American Hi-Fi","American Pie 2 OST","Vertigo","2:13","4","5","thumbs-up"
"American Hi-Fi","Art of Losing","The Art of Losing","3:23","2","5","thumbs-up"
"2 Mello","Celeste B-Sides (Original Game Soundtrack)","Mirror Temple (Mirror Magic Mix)","3:55","","5","thumbs-up"
"Kate Nash","Yesterday Was Forever","Twisted Up","3:27","","5","thumbs-up"
"Slow Club","Christmas Thanks For Nothing EP","Christmas TV","4:32","1","5","thumbs-up"
"Low IQ 01","NJPW","Takeover (Katsuyori Shibata theme)","2:34","2","5","thumbs-up"
"The Beths","Future Me Hates Me","Great No One","3:22","3","5","thumbs-up"
"The Beths","Future Me Hates Me","Happy Unhappy","3:29","2","5","thumbs-up"
"The Beths","Waiting for Your Love: A Tribute to the Reduction Agents","Mississippi Moonshine Girls","2:31","1","5","thumbs-up"
"Shit Present","Shit Present","Anxious Type","2:47","2","5","thumbs-up"
"The Beths","Future Me Hates Me","Little Death","4:54","2","5","thumbs-up"
"Camp Cope","How to Socialise & Make Friends","Sagan-Indiana","3:55","","5","thumbs-up"
"Camp Cope","Camp Cope","Stove Lighter","4:20","2","5","thumbs-up"
"Camp Cope","How to Socialise & Make Friends","Animal & Real","3:47","2","5","thumbs-up"
"Camp Cope","Camp Cope","Jet Fuel Can't Melt Steel Beams","4:05","2","5","thumbs-up"
"Camp Cope","Split","Footscray Station","4:37","4","5","thumbs-up"
"Camp Cope","How to Socialise & Make Friends","The Opener","3:40","4","5","thumbs-up"
"Camp Cope","Maps (triple j Like A Version)","Maps (triple j Like A Version)","3:27","4","5","thumbs-up"
"Amanda Palmer","Who Killed Amanda Palmer","Guitar Hero (feat. East Bay Ray)","4:47","2","5","thumbs-up"
"AFI","The Missing Man","Get Dark","2:40","1","5","thumbs-up"
"AFI","The Missing Man","Break Angels","3:27","1","5","thumbs-up"
"AFI","The Missing Man","Trash Bat","2:07","2","5","thumbs-up"
"Daron Malakian and Scars On Broadway","Dictator","Lives","4:04","2","5","thumbs-up"
"Creeper","Creeper","Novena","3:29","1","5","thumbs-up"
"IDLES","Joy as an Act of Resistance.","I'm Scum","3:10","6","5","thumbs-up"
"Creeper","Eternity, In Your Arms","Crickets","3:48","4","5","thumbs-up"
"The Wailers","Merry Christmas - Sonics, Wailers, Galaxies","She's Comin' Home","3:02","3","5","thumbs-up"
"The Sonics","Here Are The Sonics","Do You Love Me","2:18","4","5","thumbs-up"
"The Regrettes","Poor Boy","Poor Boy","3:15","2","5","thumbs-up"
"M83","Hurry up, We're Dreaming","Midnight City","4:03","11","5","thumbs-up"
"Lil Peep","Come Over When You're Sober, Pt. 1","Awful Things (feat. Lil Tracy)","3:34","9","5","thumbs-up"
"Lil Peep","Come Over When You're Sober, Pt. 1","Save That Shit","3:51","3","5","thumbs-up"
"Alessia Cara","Know-It-All (Deluxe)","Here","3:19","18","5","thumbs-up"
"Creeper","Eternity, In Your Arms","Winona Forever","3:25","2","5","thumbs-up"
"Creeper","Eternity, In Your Arms","Room 309","2:55","3","5","thumbs-up"
"Creeper","Eternity, In Your Arms","Hiding With Boys","3:33","3","5","thumbs-up"
"Creeper","Eternity, In Your Arms","Darling","2:47","2","5","thumbs-up"
"Creeper","Eternity, In Your Arms","Misery","3:48","11","5","thumbs-up"
"Creeper","The Stranger","Black Mass","2:21","4","5","thumbs-up"
"Creeper","Eternity, In Your Arms","Down Below","3:30","12","5","thumbs-up"
"WWE & CFO$","The Rising Sun (WrestleMania 34 Performance)","The Rising Sun (WrestleMania 34 Performance)","3:50","3","5","thumbs-up"
"RedHook","Turn Up the Stereotype","Turn Up the Stereotype","3:06","1","5","thumbs-up"
"Gerard Way","Baby You're a Haunted House","Baby You're a Haunted House","2:46","2","5","thumbs-up"
"7 Seconds","Walk Together, Rock Together","We're Gonna Fight","3:24","5","5","thumbs-up"
"The Notorious B.I.G.","Ready To Die","Ready to Die","4:24","2","5","thumbs-up"
"St. Vincent","MASSEDUCTION","Savior","3:26","","5","thumbs-up"
"St. Vincent","MASSEDUCTION","Hang On Me","2:48","1","5","thumbs-up"
"Joan Jett","Bad Reputation","Bad Reputation","2:49","8","5","thumbs-up"
"Joan Jett","Bad Reputation","Do You Wanna Touch Me (Oh Yeah)","3:46","8","5","thumbs-up"
"The Regrettes","California Friends","California Friends","3:34","4","5","thumbs-up"
"The Winking Owl","Into Another World","Let Go","3:47","1","5","thumbs-up"
"The Winking Owl","Into Another World","Interlude -Applause","2:07","1","5","thumbs-up"
"The Winking Owl","Into Another World","Chain of Emotions","4:07","1","5","thumbs-up"
"The Winking Owl","Into Another World","vectorhythm","3:38","1","5","thumbs-up"
"The Winking Owl","Into Another World","Precious Love","4:00","1","5","thumbs-up"
"The Winking Owl","Into Another World","Everyone Has A Story","3:28","2","5","thumbs-up"
"The Winking Owl","Into Another World","Now What?","4:25","2","5","thumbs-up"
"Ellisa Sun","Just a Little More","Just a Little More","3:59","","5","thumbs-up"
"The Misfits","Static Age","Hybrid Moments","1:42","5","5","thumbs-up"
"The Offspring","Rise And Fall, Rage And Grace","You're Gonna Go Far, Kid","2:57","13","5","thumbs-up"
"Paramore","Brand New Eyes","The Only Exception","4:27","13","5","thumbs-up"
"Suzanne Vega","Close-Up, Vol. 2. People And Places","Tom's Diner","4:33","7","5","thumbs-up"
"Korpiklaani","Metal Hammer - B-O-A (Bloodstock Open Air)","Let's Drink","2:44","7","5","thumbs-up"
"Screaming Females","All at Once","Deeply","2:24","7","5","thumbs-up"
"Screaming Females","Ugly","High","3:57","3","5","thumbs-up"
"Screaming Females","Rose Mountain","Wishing Well","3:25","2","5","thumbs-up"
"Screaming Females","Rose Mountain","Criminal Image","5:18","3","5","thumbs-up"
"Screaming Females","Rose Mountain","Triumph","4:48","4","5","thumbs-up"
"Screaming Females","All at Once","Glass House","3:44","11","5","thumbs-up"
"The Distillers","Man vs. Magnet / Blood in Gutters","Blood in Gutters","2:39","5","5","thumbs-up"
"The Distillers","Man vs. Magnet / Blood in Gutters","Man vs. Magnet","3:55","4","5","thumbs-up"
"Code Orange","Forever","Forever","3:07","1","5","thumbs-up"
"IDLES","Brutalism","Faith in the City","2:36","2","5","thumbs-up"
"IDLES","Joy as an Act of Resistance.","Colossus","5:39","6","5","thumbs-up"
"IDLES","Brutalism","Divide & Conquer","3:24","2","5","thumbs-up"
"IDLES","Joy as an Act of Resistance.","Samaritans","3:30","6","5","thumbs-up"
"IDLES","Joy as an Act of Resistance.","Great","2:44","2","5","thumbs-up"
"IDLES","Joy as an Act of Resistance.","Danny Nedelko","3:24","7","5","thumbs-up"
"Middlemist Red","Supersonic Overdrive","Multicoloured Drive","3:32","1","5","thumbs-up"
"Bone Lowry","Bone Lowry II","Demon City (feat. Ocho Tonio)","3:56","1","5","thumbs-up"
"Hawks and Doves","From a White Hotel","Bulletproof Hearts (For Laura Jane)","3:59","1","5","thumbs-up"
"Chvrches","Out Of My Head","Out Of My Head (feat. WEDNESDAY CAMPANELLA)","3:18","5","5","thumbs-up"
"Katie Ellen","Still Life","City / Country","4:33","3","5","thumbs-up"
"Dead Or Alive","You Spin Me Round Promo CD","You Spin Me Round (Like a Record)","3:16","22","5","thumbs-up"
"Black Sabbath","Mob Rules (Deluxe Edition)","The Mob Rules (2009 Remaster)","3:14","2","5","thumbs-up"
"Black Sabbath","Born Again (Deluxe Edition)","Trashed (2009 Remaster)","4:15","3","5","thumbs-up"
"Chvrches","Love Is Dead","My Enemy (feat. Matt Berninger)","3:53","2","5","thumbs-up"
"Chvrches","Love Is Dead","Get Out","3:51","2","5","thumbs-up"
"Hole","Live Through This","Jennifer's Body","3:40","2","5","thumbs-up"
"Hole","Live Through This","Miss World","3:00","3","5","thumbs-up"
"Danzig","Danzig","Evil Thing","3:16","2","5","thumbs-up"
"Rob Zombie","Helter Skelter","Helter Skelter","3:35","2","5","thumbs-up"
"Dentist","Night Swimming","Figure-Four","3:22","2","5","thumbs-up"
"Katie Ellen","Still Life","Adaptation of Para Todos","5:45","3","5","thumbs-up"
"Katie Ellen","Still Life","Still Life","2:57","4","5","thumbs-up"
"Katie Ellen","Still Life","Lighthouse","3:04","4","5","thumbs-up"
"David Grimason","ICW: The Music","Crank (Fight Club Theme)","3:45","2","5","thumbs-up"
"David Grimason","ICW: The Music","Wish It Away (Drew Galloway Theme)","3:09","3","5","thumbs-up"
"David Grimason","ICW: The Music","Psycho (New Age Kliq Theme)","2:55","3","5","thumbs-up"
"Chris Mitchell & David Grimason","ICW: The Music","Domination (Filthy Generation Theme)","3:09","4","5","thumbs-up"
"Cut Chemist","Die Cut","Die Cut (Theme) (feat. Deantoni Parks)","2:47","1","5","thumbs-up"
"Cut Chemist","Die Cut","Moonlightin' with Biz (feat. Biz Markie)","2:07","1","5","thumbs-up"
"Cut Chemist","Die Cut","Work My Mind (feat. Chali 2na & Hymnal)","3:38","5","5","thumbs-up"
"Donald Glover","Summer Pack","Feels Like Summer","4:57","9","5","thumbs-up"
"Donald Glover","Summer Pack","Summertime Magic","3:33","7","5","thumbs-up"
"Dragonforce","Inhuman Rampage","Through the Fire and Flames","7:21","2","5","thumbs-up"
